# {"t_start": 1569774067.8238258, "env_id": null} 
r,l,t
50,201,298.661377
50,201,298.878566
50,201,299.085867
50,201,299.300714
50,201,299.511912
50,201,299.724267
50,201,299.935688
50,201,300.15233
50,201,300.369066
50,201,300.58386
50,201,300.847527
50,201,301.062198
50,201,301.302425
40,201,301.516177
50,201,301.73308
50,201,301.953301
50,201,302.163223
50,201,302.380907
50,201,302.592066
30,201,302.812965
40,201,303.031024
50,201,303.296683
50,201,303.516673
50,201,303.744852
50,201,303.965467
50,201,304.17985
50,201,304.40235
50,201,304.615116
50,201,304.826149
50,201,305.047464
50,201,305.263952
50,201,305.532398
50,201,305.752621
50,201,305.967707
50,201,306.188037
50,201,306.412926
50,201,306.641465
50,201,306.866873
50,201,307.091071
50,201,307.310301
50,201,307.53207
50,201,307.791671
50,201,307.993153
50,201,308.207381
50,201,308.439323
50,201,308.669506
50,201,308.899371
50,201,309.1243
50,201,309.33775
50,201,309.547153
50,201,309.763931
40,201,310.025674
40,201,310.244289
50,201,310.467788
50,201,310.683492
50,201,310.910697
50,201,311.136992
50,201,311.362241
50,201,311.579733
50,201,311.811083
50,201,312.049328
50,201,312.341048
50,201,312.571807
50,201,312.801376
40,201,313.048345
50,201,313.263994
50,201,313.484226
40,201,313.69088
50,201,313.907645
50,201,314.120629
50,201,314.33606
50,201,314.559655
50,201,314.831269
50,201,315.056266
50,201,315.27829
50,201,315.500728
50,201,315.725428
40,201,315.937925
50,201,316.164223
30,201,316.381945
40,201,316.603082
50,201,316.852473
50,201,317.137691
50,201,317.354452
30,201,317.556089
50,201,317.784213
50,201,318.014356
50,201,318.231863
50,201,318.443021
40,201,318.66206
50,201,318.879647
50,201,319.101819
50,201,319.387575
40,201,319.599556
50,201,319.822689
50,201,320.09066
50,201,320.314843
50,201,320.543307
50,201,320.757082
50,201,320.97479
50,201,321.196322
50,201,321.412922
50,201,321.68854
50,201,321.913903
50,201,322.135387
50,201,322.36664
40,201,322.596552
50,201,322.831372
40,201,323.059816
50,201,323.271581
50,201,323.487553
40,201,323.715684
50,201,324.01055
50,201,324.233493
50,201,324.461348
50,201,324.686377
50,201,324.917658
40,201,325.132966
40,201,325.346324
50,201,325.564523
50,201,325.795873
50,201,326.025185
50,201,326.247614
50,201,326.511994
50,201,326.745524
50,201,326.975483
50,201,327.199671
50,201,327.425469
50,201,327.651121
50,201,327.880747
50,201,328.109611
30,201,328.32678
50,201,328.546886
40,201,328.844842
50,201,329.082224
40,201,329.318809
50,201,329.537291
50,201,329.751545
50,201,329.974801
40,201,330.201895
50,201,330.415451
50,201,330.63172
60,201,330.851028
50,201,331.127709
50,201,331.355503
50,201,331.583941
50,201,331.804431
50,201,332.024564
50,201,332.240481
40,201,332.468771
50,201,332.686678
50,201,332.89354
50,201,333.123153
50,201,333.391589
50,201,333.608816
50,201,333.828951
50,201,334.048151
50,201,334.269681
50,201,334.491838
40,201,334.71456
50,201,334.936275
40,201,335.156297
40,201,335.384705
50,201,335.646736
50,201,335.861451
50,201,336.079654
50,201,336.294191
50,201,336.512095
50,201,336.732496
50,201,336.956238
40,201,337.163774
50,201,337.376872
50,201,337.600411
50,201,337.876555
50,201,338.090064
50,201,338.312018
40,201,338.52854
50,201,338.756502
50,201,339.012495
50,201,339.271347
50,201,339.502456
50,201,339.720127
50,201,339.940292
50,201,340.15876
50,201,340.432544
50,201,340.653398
50,201,340.884509
