# {"t_start": 1569812051.8522682, "env_id": null} 
r,l,t
0,201,310.490111
0,201,310.699088
0,201,310.955761
0,201,311.163679
0,201,311.376753
0,201,311.591646
0,201,311.795665
0,201,312.011839
0,201,312.233296
0,201,312.460289
0,201,312.665002
0,201,312.897155
0,201,313.119115
0,201,313.395745
0,201,313.604082
0,201,313.819914
0,201,314.038044
0,201,314.250842
0,201,314.511987
0,201,314.757962
0,201,314.985472
0,201,315.235388
0,201,315.456211
0,201,315.729604
0,201,315.95468
0,201,316.181463
0,201,316.394053
0,201,316.632168
0,201,316.852939
0,201,317.115352
0,201,317.373135
0,201,317.60984
0,201,317.830617
0,201,318.114348
0,201,318.351289
0,201,318.562884
0,201,318.778069
0,201,318.988684
0,201,319.206876
0,201,319.43288
0,201,319.650534
0,201,319.864467
0,201,320.094952
0,201,320.365161
0,201,320.584147
0,201,320.797741
0,201,321.021624
0,201,321.243908
0,201,321.46996
0,201,321.688401
0,201,321.91107
0,201,322.130566
0,201,322.35541
0,201,322.641399
0,201,322.871682
0,201,323.114002
0,201,323.343426
0,201,323.570609
0,201,323.790028
0,201,324.017716
0,201,324.240761
0,201,324.467948
0,201,324.683773
0,201,324.89556
0,201,325.199831
0,201,325.437811
0,201,325.662194
0,201,325.887481
0,201,326.102511
0,201,326.324995
0,201,326.553323
0,201,326.780329
0,201,327.011981
0,201,327.2418
0,201,327.514095
0,201,327.750576
0,201,327.980206
0,201,328.211534
0,201,328.432214
0,201,328.661087
0,201,328.873763
0,201,329.088136
0,201,329.309787
0,201,329.52097
0,201,329.784974
0,201,330.037996
0,201,330.255078
0,201,330.475637
0,201,330.698611
0,201,330.911126
0,201,331.13695
0,201,331.358874
0,201,331.5864
0,201,331.818806
0,201,332.089802
0,201,332.312495
0,201,332.537602
0,201,332.749067
0,201,332.980554
0,201,333.210541
0,201,333.438019
0,201,333.645969
0,201,333.859202
0,201,334.079809
0,201,334.358992
0,201,334.570996
0,201,334.782542
0,201,335.012481
0,201,335.237424
0,201,335.466114
0,201,335.69169
0,201,335.912859
0,201,336.126724
0,201,336.353019
0,201,336.643151
0,201,336.873043
0,201,337.120873
0,201,337.38026
0,201,337.604831
0,201,337.823354
0,201,338.055234
0,201,338.279709
0,201,338.496123
0,201,338.719332
