% time spent exploring,episodes,mean 100 episode reward,steps
2,56800,-0.3,11416598
2,56900,-0.8,11436698
2,57000,-1.3,11456798
2,57100,-0.8,11476898
2,57200,-1.0,11496998
2,57300,-1.5,11517098
2,57400,-3.8,11537198
2,57500,-0.7,11557298
2,57600,-1.5,11577398
2,57700,-1.4,11597498
2,57800,-0.9,11617598
2,57900,-0.6,11637698
2,58000,-0.9,11657798
2,58100,-1.9,11677898
2,58200,-1.7,11697998
2,58300,-1.7,11718098
2,58400,-1.3,11738198
2,58500,-0.7,11758298
2,58600,-1.1,11778398
2,58700,-1.4,11798498
2,58800,-0.5,11818598
2,58900,0.0,11838698
2,59000,-3.5,11858798
2,59100,-1.2,11878898
2,59200,-0.8,11898998
2,59300,-1.1,11919098
2,59400,-1.4,11939198
2,59500,-1.0,11959298
2,59600,-1.1,11979398
2,59700,-2.0,11999498
2,59800,-0.7,12019598
2,59900,-1.1,12039698
2,60000,-1.1,12059798
2,60100,-0.6,12079898
2,60200,-0.9,12099998
2,60300,-1.2,12120098
2,60400,-0.5,12140198
2,60500,-1.6,12160298
2,60600,-4.5,12180398
2,60700,-0.9,12200498
2,60800,-0.7,12220598
2,60900,-1.1,12240698
2,61000,-1.4,12260798
2,61100,-0.3,12280898
2,61200,-1.2,12300998
2,61300,-4.7,12321098
2,61400,-1.6,12341198
2,61500,-0.2,12361298
2,61600,-0.6,12381398
2,61700,-0.7,12401498
2,61800,-2.5,12421598
2,61900,-1.2,12441698
2,62000,-1.2,12461798
2,62100,-1.9,12481898
2,62200,-0.8,12501998
2,62300,-1.1,12522098
2,62400,-1.1,12542198
2,62500,-1.0,12562298
2,62600,-2.7,12582398
2,62700,-1.6,12602498
2,62800,-1.3,12622598
2,62900,-0.8,12642698
2,63000,-0.1,12662798
2,63100,-2.1,12682898
2,63200,-1.3,12702998
2,63300,-1.6,12723098
2,63400,-0.6,12743198
2,63500,-0.7,12763298
2,63600,-1.0,12783398
2,63700,-1.4,12803498
2,63800,-0.6,12823598
2,63900,-1.3,12843698
2,64000,-2.9,12863798
2,64100,-0.3,12883898
2,64200,-1.3,12903998
2,64300,0.1,12924098
2,64400,-1.1,12944198
2,64500,-0.8,12964298
2,64600,-0.7,12984398
2,64700,-0.8,13004498
2,64800,-1.6,13024598
2,64900,-0.8,13044698
2,65000,0.0,13064798
2,65100,-1.4,13084898
2,65200,-2.4,13104998
2,65300,-1.0,13125098
2,65400,-1.3,13145198
2,65500,-1.2,13165298
2,65600,-1.4,13185398
2,65700,-1.8,13205498
2,65800,-1.1,13225598
2,65900,-1.0,13245698
2,66000,-1.7,13265798
2,66100,-0.8,13285898
2,66200,-2.3,13305998
2,66300,-2.1,13326098
2,66400,-1.6,13346198
2,66500,-1.6,13366298
2,66600,-0.6,13386398
2,66700,-1.9,13406498
2,66800,-1.2,13426598
2,66900,-1.3,13446698
2,67000,-2.7,13466798
2,67100,-1.6,13486898
2,67200,-0.6,13506998
2,67300,-2.6,13527098
2,67400,-1.1,13547198
2,67500,-0.8,13567298
2,67600,-2.1,13587398
2,67700,-1.6,13607498
2,67800,-0.4,13627598
2,67900,-0.4,13647698
2,68000,-1.2,13667798
2,68100,-0.3,13687898
2,68200,-0.7,13707998
2,68300,-0.9,13728098
2,68400,-0.6,13748198
2,68500,-0.8,13768298
2,68600,-0.9,13788398
2,68700,-0.8,13808498
2,68800,-1.4,13828598
2,68900,-0.4,13848698
2,69000,-0.6,13868798
2,69100,-0.9,13888898
2,69200,-1.5,13908998
2,69300,-1.0,13929098
2,69400,-0.4,13949198
2,69500,-0.8,13969298
2,69600,-0.2,13989398
2,69700,-1.2,14009498
2,69800,0.2,14029598
2,69900,-2.1,14049698
2,70000,-0.8,14069798
2,70100,-1.5,14089898
2,70200,-1.0,14109998
2,70300,-0.9,14130098
2,70400,-1.7,14150198
2,70500,-0.7,14170298
2,70600,-1.1,14190398
2,70700,-0.1,14210498
2,70800,-1.7,14230598
2,70900,-1.2,14250698
2,71000,-1.0,14270798
2,71100,-0.3,14290898
2,71200,-1.5,14310998
2,71300,-1.4,14331098
2,71400,-0.8,14351198
2,71500,-0.9,14371298
2,71600,-0.1,14391398
2,71700,-2.3,14411498
2,71800,-1.0,14431598
2,71900,-0.5,14451698
2,72000,-0.3,14471798
2,72100,-1.6,14491898
2,72200,-2.0,14511998
2,72300,-1.7,14532098
2,72400,-1.4,14552198
2,72500,-1.7,14572298
2,72600,-0.4,14592398
2,72700,-0.9,14612498
2,72800,-1.7,14632598
2,72900,-0.2,14652698
2,73000,-1.2,14672798
2,73100,-0.5,14692898
2,73200,-0.6,14712998
2,73300,-0.6,14733098
2,73400,-0.5,14753198
2,73500,-2.3,14773298
2,73600,-0.9,14793398
2,73700,-1.1,14813498
2,73800,-2.1,14833598
2,73900,-1.3,14853698
2,74000,-0.6,14873798
2,74100,-1.9,14893898
2,74200,-2.1,14913998
2,74300,-1.3,14934098
2,74400,-0.5,14954198
2,74500,-1.8,14974298
2,74600,0.2,14994398
2,74700,-0.6,15014498
2,74800,-2.4,15034598
2,74900,-1.2,15054698
2,75000,-1.5,15074798
2,75100,15.3,15094898
2,75200,25.5,15114998
2,75300,-15.9,15135098
2,75400,13.1,15155198
2,75500,40.0,15175298
2,75600,42.5,15195398
2,75700,-1.3,15215498
2,75800,23.3,15235598
2,75900,-5.7,15255698
2,76000,-31.8,15275798
